Timestamp,How many romantic relationships have you been in in high school that were at least a month long?,Grade Level:,Gender:,Height in inches:,"Preferred height for partner, in inches:",Age:,Preferred Age of partner:,Do you have your drivers license/access to a car?,"How many hours, per week, do you spend on extracurriculars?",Average size of extracurriculars [amount of people involved]:,Approx. how many close friends do you have?,"How confident do you consider yourself?
[1 is least confident, 4 is most confident]","How much do you want to be in a relationship? 
[1 is not interested, 4 is most desiring]","be honest. how many muppets can you name off the top of your head?
[elmo et al are not muppets. barney is also not a muppet.]"
5/15/2026 8:34:59,0,11,Female,411,53,17,20,Yes,4,50-150 people,3,2,1,"Miss Piggy, Kermit, Fozzy Bear, Constantine(?)"
5/15/2026 8:40:08,2,10,Male,66,64,16,16,Yes,14,<50 people,8,3,4,zero
5/15/2026 8:45:42,2,11,Other,61,73,17,17,No,10,<50 people,3,2,4,12
5/15/2026 8:46:48,3,11,Female,61,62,17,17,No,4,<50 people,10,2,4,no
5/15/2026 8:48:15,1,11,Female,62,61,17,17,Yes,4,<50 people,5,4,4,1
5/15/2026 8:52:06,6,11,Male,71,66,17,16,Yes,20,<50 people,6,3,4,maybe 2
5/15/2026 8:52:22,0,11,Male,72,74,17,17,No,0.5,<50 people,16,3,3,3
5/15/2026 8:56:19,3,11,Male,71,64,16,16,No,35,<50 people,30,1,1,11
5/15/2026 8:57:40,0,11,Male,66,66,17,17,No,20,50-150 people,50,3,3,18
5/15/2026 8:58:02,1,11,Male,67,65,16,16,No,20,50-150 people,60,4,4,Kermit
5/15/2026 9:02:51,2,11,Male,72,67,17,17,No,16,50-150 people,12,3,4,9
5/15/2026 9:04:44,5,12,Male,72,64,18,18,Yes,0,<50 people,5,3,4,2
5/15/2026 9:06:04,2,12,Female,63,70,18,18,Yes,2,50-150 people,4,3,4,5
5/15/2026 9:10:34,0,9,Male,68,58,16,15,Yes,6,<50 people,20,3,1,none yo 
5/15/2026 9:11:51,1,12,Male,71,65,35,35,Yes,0,<50 people,3,3,1,1
5/15/2026 9:13:08,0,9,Male,68,64,15,15,No,8,<50 people,10,3,4,1
5/15/2026 9:16:34,1,9,Female,67,72,15,16,No,12,<50 people,10,4,4,"kermit, ms piggy"
5/15/2026 9:17:44,1,9,Female,70,72,15,15,No,14,<50 people,4,3,4,2
5/15/2026 9:19:40,1,9,Female,60,68,15,15,No,12,50-150 people,4,3,1,0
5/15/2026 9:19:53,0,9,Male,71,64,15,15,No,10,<50 people,8,3,3,3
5/15/2026 9:21:08,0,9,Female,61,67,15,15,No,12,<50 people,3,2,2,1
5/15/2026 9:24:16,0,9,Male,69,67,15,15,No,3,50-150 people,8,2,1,1
5/15/2026 9:24:41,1,9,Male,66,66,15,15,No,10,<50 people,15,3,1,5
5/15/2026 9:26:22,0,12,Male,77,58,19,9,Yes,0,<50 people,0,4,4,0
5/15/2026 9:27:13,0,12,Male,77,58,19,9,Yes,0,<50 people,0,4,4,0
5/15/2026 9:27:33,0,9,Male,70,64,15,15,No,8,<50 people,20,3,2,2
5/15/2026 9:28:42,0,9,Male,73,69,15,14,No,7,<50 people,4,3,1,0
5/15/2026 9:48:14,0,12,Male,72,69,18,18,Yes,2,<50 people,15,4,2,1
5/15/2026 10:41:22,2,12,Male,64,70,19,21,Yes,21,<50 people,7,3,4,0
5/15/2026 10:46:03,0,12,Male,72,69,18,18,Yes,4,50-150 people,6,2,3,2
5/15/2026 10:50:54,0,12,Male,70,64,18,18,Yes,6,<50 people,7,2,4,4
5/18/2026 8:23:54,0,9,Male,68,67,15,15,No,5,<50 people,5,2,4,0
