Year,Salary
2,115000
2,115000
2,115000
2,115000
2,115000
2,115000
2,115000
2,115000
2,115000
2,115000
3,75000
3,180000
4,150000
4,182000
5,180000
5,180000
5,180000
5,180000
5,180000
5,100000
5,100000
5,100000
5,100000
5,100000
5,100000
5,100000
5,100000
5,100000
5,100000
6,160000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,175000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,170000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,180000
6,175000
6,150000
6,170000
6,150000
6,150000
6,150000
6,150000
6,150000
6,150000
6,150000
6,150000
6,150000
6,150000
6,150000
6,155000
6,150000
6,155000
6,150000
6,155000
6,150000
6,155000
6,150000
6,155000
6,100000
6,100000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,180000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,185000
7,170000
7,170000
7,170000
7,170000
7,170000
7,170000
7,170000
7,170000
7,170000
7,170000
7,170000
7,170000
7,170000
7,130000
7,110000
8,190000
8,190000
8,190000
8,190000
8,190000
8,190000
8,190000
8,190000
8,190000
8,190000
8,190000
8,190000
8,190000
8,190000
8,180000
8,180000
8,130000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
8,140000
9,195000
9,195000
9,195000
9,195000
9,195000
9,195000
9,185000
9,185000
9,185000
9,185000
9,185000
9,185000
9,185000
9,185000
9,185000
9,185000
9,140000
9,140000
9,140000
9,140000
9,140000
9,140000
9,140000
9,140000
9,140000
9,140000
9,140000
9,140000
9,140000
9,140000
9,140000
9,140000
9,140000
9,140000
9,140000
9,140000
9,140000
9,140000
9,140000
9,140000
9,140000
9,140000
9,140000
9,112000
9,140000
9,140000
9,140000
9,140000
9,145000
9,145000
9,145000
9,145000
9,145000
9,145000
9,145000
9,145000
9,145000
9,145000
9,145000
9,145000
9,145000
9,145000
9,145000
9,145000
9,145000
10,193000
10,193000
10,195000
10,195000
10,195000
10,195000
10,195000
10,150000
10,145000
11,160000
12,130000
12,130000
12,130000
13,140000
13,140000
13,140000
13,140000
13,140000
13,140000
13,140000
13,140000
13,140000
13,140000
13,140000
13,140000
13,140000
13,140000
13,138000
14,140000
14,140000
14,140000
14,140000
14,140000
14,140000
14,140000
14,140000
15,198000
15,190000
15,150000
15,150000
15,150000
15,150000
15,150000
15,150000
15,150000
15,150000
15,150000
15,150000
15,150000
15,150000
15,150000
15,150000
15,150000
15,150000
15,150000
15,150000
15,155000
15,157000
15,157000
15,157000
15,157000
15,157000
15,157000
15,157000
15,157000
16,160000
16,160000
16,160000
16,160000
16,160000
16,160000
16,160000
16,160000
16,160000
16,160000
16,160000
16,160000
16,160000
16,160000
16,160000
16,160000
16,160000
16,160000
16,160000
16,160000
16,160000
16,160000
16,160000
16,160000
16,160000
16,162000
16,162000
16,162000
16,162000
16,162000
16,162000
16,162000
16,162000
17,168000
17,168000
17,168000
17,168000
17,168000
17,168000
17,168000
17,168000
17,179000
18,180000
18,180000
18,180000
18,180000
18,180000
18,180000
18,180000
18,180000
18,180000
18,180000
18,180000
18,180000
18,180000
18,180000
18,180000
18,180000
18,180000
18,182000
18,182000
18,182000
18,182000
18,182000
18,182000
18,182000
18,183000
18,183000
18,183000
18,183000
18,183000
18,183000
18,183000
19,190000
19,190000
19,190000
19,190000
19,190000
19,190000
19,190000
19,190000
19,190000
19,190000
19,190000
19,190000
19,190000
19,190000
19,190000
19,190000
19,193000
22,220000
22,220000
22,220000
22,220000
22,220000
22,220000
22,220000
22,220000
22,219000
22,219000
22,219000
22,219000
22,219000
22,219000
22,219000
22,219000
23,225000
23,225000
23,225000
23,225000
23,225000
23,225000
23,225000
23,225000
24,240000
24,240000
24,240000
24,240000
24,240000
24,240000
24,240000
24,240000
